caption_length,comments,content_category,engagement_rate,followers_gained,hashtags_count,impressions,media_type,Sum of likes,post_id,Sum of reach,Sum of saves,Sum of shares,traffic_source,upload_date
6,6785,Travel,10.01,543,9,1939212,Reel,179634,IG0014949,1499847,3291,4312,Home Feed,12/3/2024
6,7972,Fashion,25.21,749,15,737689,Video,173320,IG0026909,520564,4146,567,External,1/27/2025
6,8660,Travel,17.57,506,14,1124314,Carousel,187666,IG0004709,767314,155,1096,Reels Feed,6/20/2025
6,8702,Lifestyle,7.19,572,10,1016044,Carousel,56287,IG0001063,1002716,4873,3167,Reels Feed,1/5/2025
7,1885,Fashion,6.13,581,10,1558597,Reel,85184,IG0014701,1270499,3900,4504,Reels Feed,7/12/2025
7,2923,Food,20.69,668,26,553053,Photo,103551,IG0015740,223119,3036,4925,Reels Feed,4/30/2025
7,3864,Food,2.85,115,22,1893097,Video,34149,IG0004219,1677198,13942,1945,External,4/12/2025
7,4285,Food,2.45,431,19,1478871,Video,20174,IG0020217,1305534,9328,2397,Explore,3/7/2025
7,5297,Fashion,29,824,14,694447,Photo,182992,IG0010758,300173,9004,4106,Profile,1/18/2025
7,6577,Fitness,8.21,544,1,1713405,Reel,125893,IG0003792,1292192,3822,4462,Home Feed,11/24/2024
7,7468,Fashion,3.7,705,14,1839017,Reel,54212,IG0015992,1778172,5557,818,Profile,12/1/2024
7,8744,Comedy,7.09,491,10,1697135,Carousel,108816,IG0021388,1341961,30,2768,Home Feed,10/16/2025
7,8966,Food,8.58,103,5,2209419,Photo,170951,IG0011244,1741066,7662,1984,Hashtags,1/14/2025
7,9572,Fashion,12.37,434,29,677972,Carousel,66941,IG0023419,367748,6178,1205,Reels Feed,10/19/2025
7,9789,Fashion,6.16,131,24,2284220,Photo,113468,IG0022759,1917257,12738,4717,External,11/6/2025
8,215,Fashion,10.77,344,8,1582918,Video,155412,IG0002492,1467319,13356,1433,Explore,1/27/2025
8,306,Travel,17.16,294,23,527393,Carousel,78463,IG0011883,297971,8512,3196,Reels Feed,7/18/2025
8,1625,Technology,1.14,468,14,2111433,Carousel,13922,IG0014542,1779670,7622,928,Profile,7/8/2025
8,2297,Fashion,6.9,564,24,1303153,Carousel,78521,IG0025217,1070174,6161,2953,Reels Feed,10/12/2025
8,2604,Music,3.54,553,3,1117127,Reel,30186,IG0019226,900463,3367,3387,Reels Feed,4/27/2025
8,2723,Fitness,6.3,407,3,1806648,Reel,100453,IG0025889,1601427,8899,1655,Reels Feed,1/24/2025
8,4382,Fashion,4.53,918,19,790188,Photo,30175,IG0017929,452952,1050,173,Profile,5/31/2025
8,5878,Fashion,0.69,550,22,2390308,Carousel,5013,IG0024274,1967126,2798,2753,Home Feed,5/20/2025
8,7745,Technology,6.31,31,7,2032540,Carousel,111480,IG0013374,1853113,6701,2341,Hashtags,12/10/2024
8,7794,Travel,12.68,538,21,1707623,Reel,197469,IG0020019,1440522,7216,3996,Reels Feed,5/4/2025
8,9779,Music,15.45,472,13,1194769,Carousel,169617,IG0014096,828532,5019,129,Profile,2/26/2025
9,24,Music,14.67,901,12,1082852,Carousel,155068,IG0025360,706704,3689,29,Explore,3/25/2025
9,441,Technology,7.69,227,3,1218372,Carousel,78572,IG0024933,738572,9761,4942,Reels Feed,1/18/2025
9,522,Comedy,26.3,680,18,407578,Video,96967,IG0003259,60411,6166,3547,Reels Feed,6/30/2025
9,6849,Travel,10.15,310,20,1670364,Carousel,145341,IG0005012,1273762,14492,2801,Reels Feed,6/7/2025
9,6978,Comedy,7.15,53,0,952216,Carousel,48720,IG0023727,526035,10249,2136,Home Feed,11/8/2025
9,7307,Beauty,7.78,96,13,1513281,Reel,98805,IG0015979,1465754,6801,4842,Hashtags,11/11/2025
9,8495,Photography,5.02,863,13,2009269,Photo,85857,IG0015735,1606772,2316,4251,Hashtags,2/15/2025
9,9132,Comedy,28.19,280,13,364270,Photo,79078,IG0026550,139716,13752,724,Hashtags,4/19/2025
9,9661,Lifestyle,24.61,27,10,720563,Reel,152629,IG0027781,236725,11481,3579,Reels Feed,12/26/2024
9,9689,Beauty,4.7,92,14,2159252,Carousel,90098,IG0018875,1903606,1197,443,Reels Feed,3/8/2025
10,962,Music,10.46,301,2,1005322,Reel,90318,IG0025501,616196,13456,404,Profile,4/9/2025
10,1935,Beauty,2.32,623,12,1776187,Photo,27212,IG0002644,1484920,9523,2613,Hashtags,9/22/2025
10,1998,Fashion,18.53,844,16,1150113,Carousel,198951,IG0010933,1022024,8750,3470,External,7/24/2025
10,2969,Fashion,28.5,118,20,449301,Carousel,109484,IG0025117,254337,12786,2805,Reels Feed,7/13/2025
10,4128,Fitness,3.19,62,29,1785026,Video,35705,IG0001185,1537046,13786,3404,Reels Feed,8/13/2025
10,5074,Technology,14.38,689,8,809872,Reel,92690,IG0016676,598164,14852,3809,Hashtags,7/7/2025
10,6731,Comedy,10.07,35,29,1509572,Video,134564,IG0010726,1380255,10609,167,Reels Feed,2/2/2025
10,6919,Lifestyle,15.03,334,8,630933,Video,83887,IG0029143,516842,1051,2968,Reels Feed,8/19/2025
10,7396,Fitness,7.49,200,8,2158722,Reel,139804,IG0026889,1818428,12145,2350,Explore,7/18/2025
10,8043,Lifestyle,4.49,785,15,1394522,Carousel,42760,IG0018210,1318740,7352,4517,Hashtags,1/5/2025
10,8094,Lifestyle,2.43,400,2,875424,Reel,4276,IG0001539,387215,6490,2396,Reels Feed,1/12/2025
10,8624,Technology,2.83,158,5,831410,Reel,1642,IG0017920,644080,11929,1359,Reels Feed,5/10/2025
10,9038,Lifestyle,8.6,163,23,2328793,Video,175828,IG0025470,1905572,14481,1003,External,11/13/2025
11,865,Fitness,6.59,853,26,1015362,Photo,57115,IG0026042,741329,4068,4899,Home Feed,3/5/2025
11,1533,Comedy,11.13,254,5,1596731,Reel,168476,IG0004785,1097312,7381,362,Explore,1/17/2025
11,3109,Photography,3.27,584,14,2290576,Reel,55904,IG0011504,1863652,11631,4213,External,12/11/2024
11,3752,Travel,8.39,88,29,601848,Carousel,36659,IG0011029,388820,9012,1079,Hashtags,3/1/2025
11,3921,Beauty,10.46,312,12,1409240,Video,135176,IG0013146,1033181,4633,3625,Explore,9/21/2025
11,4919,Beauty,3.05,516,4,779506,Video,15588,IG0020926,345336,664,2586,Hashtags,10/16/2025
11,4980,Beauty,24.69,971,17,791225,Reel,185455,IG0011714,503549,2924,1981,External,1/25/2025
11,5362,Music,40.7,169,6,257027,Reel,89654,IG0011621,110086,6895,2708,Reels Feed,3/24/2025
11,5717,Travel,15.01,98,15,1049702,Video,142009,IG0015482,699207,7583,2212,Hashtags,7/25/2025
11,6756,Photography,18.64,304,27,456288,Reel,65121,IG0017744,212649,8735,4453,Home Feed,1/28/2025
11,8185,Technology,40.76,858,21,253227,Video,85594,IG0014940,137729,4691,4746,Explore,2/2/2025
11,9148,Music,35.82,48,7,444895,Carousel,135496,IG0009457,102835,11453,3283,Hashtags,3/7/2025
12,610,Lifestyle,8.06,872,12,1274262,Carousel,98903,IG0011684,1037779,2531,641,Hashtags,2/18/2025
12,1434,Lifestyle,11.39,354,6,1220226,Photo,126074,IG0020001,1146468,8611,2808,External,3/30/2025
12,3029,Comedy,73.01,844,13,264358,Video,181972,IG0018304,186719,3844,4162,Explore,12/5/2024
12,3199,Technology,10.9,799,11,1072966,Reel,100320,IG0024174,769801,9532,3877,Reels Feed,1/8/2025
12,4823,Fashion,5.93,857,13,1509953,Carousel,73285,IG0008782,1411507,6631,4794,Hashtags,2/21/2025
12,5054,Photography,9.11,668,3,1771409,Photo,142684,IG0001497,1572251,11404,2196,External,4/17/2025
12,5259,Technology,3.02,739,2,2081129,Carousel,50335,IG0021376,1636660,5310,2044,Hashtags,6/21/2025
12,5743,Music,81.99,851,10,174753,Carousel,131655,IG0024157,116335,4540,1350,Reels Feed,11/21/2024
12,6688,Food,4.45,253,10,1238489,Carousel,37082,IG0020555,899095,6756,4637,Hashtags,2/7/2025
12,6979,Music,10.59,58,25,1006456,Video,84852,IG0020415,613392,9938,4813,External,12/31/2024
12,7570,Fitness,5.08,272,1,1137347,Video,45259,IG0004008,906298,4601,309,Reels Feed,11/2/2025
12,8358,Food,5.53,518,14,1567165,Video,64345,IG0028755,1505289,11892,2056,Hashtags,8/31/2025
13,298,Music,48.48,637,11,329011,Video,150511,IG0015288,157346,8300,388,Reels Feed,9/13/2025
13,696,Food,9.95,567,8,2014277,Video,187215,IG0014950,1765570,12524,47,Reels Feed,9/18/2025
13,1310,Music,14.67,303,25,1284522,Video,173336,IG0005284,1076687,13494,327,Profile,5/13/2025
13,1832,Music,11.71,565,22,1545615,Reel,177305,IG0006510,1132902,1148,655,External,7/15/2025
13,2643,Travel,17.93,616,24,989224,Video,163363,IG0005870,565805,10017,1393,Reels Feed,7/30/2025
13,3585,Fashion,2.25,630,7,1984889,Video,37623,IG0004983,1617702,149,3216,Profile,11/14/2025
13,3898,Beauty,25.01,119,2,642717,Photo,138665,IG0001590,344492,14117,4056,External,1/11/2025
13,4423,Lifestyle,8.54,787,0,670949,Carousel,49310,IG0016638,465906,1329,2217,Profile,12/12/2024
13,6372,Beauty,2.57,939,15,1150036,Video,15336,IG0013655,1076590,3255,4605,Home Feed,5/20/2025
13,7574,Travel,33.2,280,30,590210,Photo,182820,IG0026868,310521,4833,730,External,3/12/2025
13,7593,Photography,2.56,290,12,2022234,Photo,30248,IG0018146,1602383,13491,534,Home Feed,5/10/2025
13,7740,Food,13.53,513,26,916027,Photo,111084,IG0022698,642153,1518,3601,External,5/25/2025
13,7992,Fitness,25.41,346,13,559585,Reel,121977,IG0014094,236564,9375,2844,Profile,1/23/2025
13,8199,Travel,16.17,416,23,905498,Reel,126262,IG0020716,830260,9285,2652,Hashtags,8/16/2025
13,9129,Travel,5.77,553,18,1921556,Reel,93133,IG0017078,1586290,6402,2124,Home Feed,6/19/2025
14,985,Lifestyle,21.49,766,20,507627,Carousel,101766,IG0004173,222566,1785,4552,Home Feed,11/2/2025
14,1349,Comedy,8.21,83,20,780772,Video,59194,IG0013830,456181,1540,1980,Profile,3/28/2025
14,1722,Beauty,17.78,738,2,984742,Photo,159723,IG0014285,832804,13593,11,External,8/13/2025
14,2416,Photography,22.74,135,28,633327,Carousel,133932,IG0003604,552264,4701,2954,Profile,10/6/2025
14,2632,Fitness,7.28,771,3,1034438,Carousel,62580,IG0005052,840100,5741,4333,Profile,10/25/2025
14,3894,Fashion,0.73,64,10,2118610,Carousel,8457,IG0005330,1698460,1983,1114,Hashtags,12/18/2024
14,4376,Photography,7.55,221,12,867722,Reel,56050,IG0028976,540997,1470,3644,Hashtags,5/26/2025
14,4991,Photography,12.68,166,16,1242463,Photo,140434,IG0013427,974417,9568,2518,Explore,1/22/2025
14,5502,Comedy,4.72,562,6,1810865,Video,70597,IG0025074,1470424,5622,3837,Reels Feed,2/27/2025
14,5693,Lifestyle,7.17,144,16,2013832,Carousel,129355,IG0028843,1699154,8856,389,Reels Feed,3/23/2025
14,5759,Comedy,8.83,127,16,1814023,Video,143184,IG0027544,1681711,8082,3156,Hashtags,1/13/2025
14,6063,Fashion,3.75,387,4,2060676,Video,63282,IG0007819,1576505,4265,3636,Reels Feed,2/26/2025
14,7353,Lifestyle,7.31,436,13,2000085,Reel,134726,IG0009210,1883593,4020,194,Profile,7/17/2025
14,7630,Fitness,2.85,491,4,1185811,Photo,9161,IG0020268,1159388,14189,2781,Profile,1/15/2025
14,7693,Music,7.79,740,14,1990298,Carousel,137126,IG0007456,1786788,7359,2918,Home Feed,2/12/2025
14,8905,Beauty,3.76,181,25,1826994,Photo,51452,IG0026866,1491253,4816,3448,Hashtags,12/8/2024
14,9832,Technology,10.88,781,30,1356303,Carousel,122571,IG0021076,1235472,10744,4484,Reels Feed,8/28/2025
15,1244,Beauty,4.92,216,30,1279031,Carousel,44798,IG0017940,1089331,13607,3337,External,1/14/2025
15,1397,Technology,17.73,274,1,1006113,Video,163774,IG0029380,771128,13197,29,Hashtags,11/23/2024
15,2263,Travel,9.27,328,17,1036646,Photo,76327,IG0005221,971128,13454,4005,Home Feed,8/28/2025
15,2841,Food,10.56,943,22,1416770,Video,141805,IG0014092,1272130,4184,838,Reels Feed,12/14/2024
15,3083,Beauty,0.91,755,22,1956621,Carousel,7723,IG0000782,1730699,3106,3924,Hashtags,9/5/2025
15,3517,Beauty,11.86,147,5,953808,Video,101169,IG0013242,754359,7070,1374,Explore,10/7/2025
15,4135,Music,5.29,982,16,1280451,Reel,58056,IG0011991,885318,683,4874,Profile,8/20/2025
15,4336,Photography,1.66,380,24,2271631,Video,23975,IG0027377,1792383,5944,3565,Hashtags,10/1/2025
15,4736,Travel,18.12,256,23,941988,Video,151127,IG0024881,571636,10377,4423,Hashtags,10/16/2025
15,6969,Travel,6.58,269,6,1638508,Video,86634,IG0026483,1474419,14124,49,Profile,12/1/2024
15,7719,Travel,2.73,528,1,2047711,Photo,44537,IG0024083,1828384,3526,101,Home Feed,2/8/2025
15,8755,Lifestyle,18.44,632,0,971488,Video,155483,IG0016653,922645,10615,4277,Hashtags,11/13/2025
15,9690,Lifestyle,1.25,270,29,1214260,Carousel,923,IG0011969,1084218,3436,1083,Home Feed,1/20/2025
16,482,Beauty,5.36,955,1,1284691,Photo,63876,IG0007189,1218304,3355,1141,Hashtags,2/14/2025
16,1412,Technology,10.29,613,26,1574610,Video,146182,IG0012023,1167559,13076,1330,External,9/7/2025
16,2746,Fashion,7.56,766,8,1659326,Carousel,113798,IG0020145,1505217,6469,2454,Profile,12/15/2024
16,3076,Photography,9.13,44,14,2045129,Carousel,179857,IG0025514,1922651,1736,2119,Hashtags,10/31/2025
16,5075,Technology,9,50,11,959727,Photo,75955,IG0015980,683083,2447,2904,Hashtags,3/5/2025
16,5682,Beauty,24.19,623,22,565299,Photo,124917,IG0003239,257211,5212,930,Profile,6/20/2025
16,7035,Fashion,1.25,924,22,2165017,Carousel,8651,IG0022543,1856520,9655,1651,Home Feed,12/24/2024
16,8213,Fashion,8.87,28,7,2237298,Photo,183548,IG0010910,1985928,3101,3515,External,5/15/2025
16,8290,Photography,8.31,329,27,780804,Carousel,47240,IG0017111,550011,8585,759,Reels Feed,1/4/2025
16,8297,Beauty,13.5,404,6,1371950,Video,171103,IG0015464,1004292,3379,2422,External,10/23/2025
16,8589,Comedy,7,6,6,1522620,Carousel,82207,IG0021671,1179828,14113,1678,Explore,1/28/2025
16,8805,Travel,14.04,178,30,1029512,Video,122957,IG0018094,640023,11095,1690,External,1/12/2025
16,9224,Comedy,9.85,197,19,1782089,Reel,160888,IG0008132,1363632,5002,500,External,9/11/2025
16,9458,Photography,11.89,94,9,1454074,Photo,161235,IG0001661,1003078,212,2034,Explore,1/18/2025
16,9527,Fitness,12.74,981,7,833673,Carousel,90597,IG0017875,540696,4043,2041,Explore,11/3/2025
17,1,Comedy,19.57,586,3,551909,Video,94076,IG0002546,224701,10150,3772,Explore,10/23/2025
17,1134,Comedy,5.74,970,18,1336350,Reel,69377,IG0025743,1204278,5111,1143,Profile,11/12/2025
17,1986,Photography,1.76,754,17,1867167,Video,20583,IG0010173,1479511,8162,2218,Explore,11/11/2025
17,2230,Travel,26.4,993,9,803737,Carousel,194752,IG0009613,501134,13564,1624,Home Feed,6/23/2025
17,2680,Beauty,21.47,23,26,826945,Photo,171272,IG0007975,527585,2585,991,Hashtags,12/25/2024
17,3654,Travel,4.4,227,1,1322654,Video,36915,IG0003281,1008574,14628,3062,External,10/4/2025
17,5915,Comedy,2.83,882,25,2184086,Photo,47263,IG0007228,1756996,6580,2102,Home Feed,2/10/2025
17,6132,Technology,23.32,806,2,448072,Carousel,83179,IG0015786,221799,11960,3203,Hashtags,6/15/2025
17,6253,Comedy,7.41,54,11,1920369,Reel,129537,IG0023793,1707664,6371,55,External,8/4/2025
